id,train_name,src,dest,train_type,pantry_avl
19409,Ahmedabad Jn Gorakhpur GORAKHPUR EXPRESS,ADI,GKP,EXP,0
22873,Digha F S Visakhapatnam EXPRESS,DGHA,VSKP,SF,0
14205,Faizabad Jn Delhi EXPRESS,AYC,DLI,EXP,0
12372,JAISALMER HOWRAH JN SUPERFAST EXPRESS,BKN,HWH,SF,1
12119,Amravati Ajni EXPRESS,AMI,AJNI,ICE,0
19326,Amritsar Jn Indore Jn Bg EXPRESS,ASR,INDB,EXP,0
22652,PGT MAS EXP,PGT,MAS,SF,0
17063,Manmad Jn Secunderabad Jn AJANTA EXPRESS,MMR,SC,EXP,1
12436,JYG GARIB RATH,ANVT,JYG,GR,0
12182,Ajmer Jn Jabalpur DAYODAYA EXPRESS,AII,JBP,SF,0
12033,Kanpur Central New Delhi SHATABDI,CNB,NDLS,STBDI,0
12754,MARATHWADA S K,NZM,NED,SF,0
18409,Howrah Jn Puri SRI JAGANNATH EXPRESS,SHM,PURI,EXP,0
14042,Dehradun Delhi S Rohilla MUSSOORIE EXPRESS,DDN,DLI,EXP,0
12859,Mumbai Cst Howrah Jn GITANJALI EXPRESS,CSMT,HWH,SF,1
12786,Ksr Bengaluru Kacheguda KACHEGUDA EXPRESS,MYS,KCG,SF,0
12390,Chennai Egmore Gaya Jn EXPRESS,MAS,GAYA,SF,1
12002,New Delhi Habibganj BHOPAL SHATABDI,NDLS,RKMP,STBDI,0
15036,Kathgodam Delhi UTR SAMPARK KRANTI EXPRESS,KGM,DLI,EXP,0
18625,PRNC HTE EXPRESS,PRNC,HTE,ICE,0
12582,New Delhi Manduadih SUPERFAST EXPRESS,NDLS,BSBS,SF,0
